UserID,Round,Duration,TransTimes,Task1Ans,Task2Ans,Task1True,Task2True
2, 1, 6.287, 0, B, B, C, C
2, 2, 3.053, 0, B, B, E, E
2, 3, 10.934, 0, B, B, B, D
2, 4, 3.807, 0, B, B, A, B
2, 5, 0.818, 0, B, B, B, E
2, 6, 0.184, 0, B, B, E, E
2, 7, 0.159, 0, B, B, D, D
2, 8, 0.176, 0, B, B, A, C
2, 9, 0.199, 0, B, B, A, D
2, 10, 0.243, 0, B, B, E, A
5, 1, 11.291, 0, A, C, E, A
5, 2, 0.612, 0, A, C, D, E
5, 3, 0.367, 0, A, C, A, E
5, 4, 0.395, 0, A, C, C, B
5, 5, 0.403, 0, A, C, B, C
5, 6, 0.387, 0, A, C, C, C
5, 7, 0.513, 0, A, C, D, E
5, 8, 1.811, 0, A, C, D, D
5, 9, 0.592, 0, A, C, A, E
5, 10, 1.102, 0, A, C, A, A
